arm,auroc,calibration_path,lambda_1,method,precision_at_10,precision_at_25,seed,selected_gamma,selected_kappa,status,train_rate
A2,0.6111111111111112,gamma-bisection,0.01,B3_fragility_only,0.7,0.8,1004,-4.841796875,1.0,ELIGIBLE,0.03995192307692308
A2,0.39160628019323673,gamma-bisection,0.01,B4_CFHM,0.4,0.44,1004,-4.841796875,1.0,ELIGIBLE,0.03995192307692308
A1,0.6048551611587106,gamma-bisection,0.01,B1_in_degree,0.6,0.48,1005,-4.39404296875,1.0,ELIGIBLE,0.03990384615384615
A1,0.5506935944512444,gamma-bisection,0.01,B2_age_x_popularity,0.4,0.48,1005,-4.39404296875,1.0,ELIGIBLE,0.03990384615384615
A1,0.9220726234190126,gamma-bisection,0.01,B3_fragility_only,1.0,0.96,1005,-4.39404296875,1.0,ELIGIBLE,0.03990384615384615
A1,0.8157894736842105,gamma-bisection,0.01,B4_CFHM,1.0,0.96,1005,-4.39404296875,1.0,ELIGIBLE,0.03990384615384615
A2,0.6418808649530803,gamma-bisection,0.01,B1_in_degree,0.5,0.64,1005,-4.83154296875,1.0,ELIGIBLE,0.04
A2,0.5273357813137495,gamma-bisection,0.01,B2_age_x_popularity,0.4,0.48,1005,-4.83154296875,1.0,ELIGIBLE,0.04
A2,0.7951856385148919,gamma-bisection,0.01,B3_fragility_only,0.9,0.76,1005,-4.83154296875,1.0,ELIGIBLE,0.04
A2,0.6006731946144431,gamma-bisection,0.01,B4_CFHM,0.6,0.64,1005,-4.83154296875,1.0,ELIGIBLE,0.04
A1,0.6584535256410255,gamma-bisection,0.01,B1_in_degree,0.8,0.76,1006,-4.130859375,1.0,ELIGIBLE,0.040096153846153844
A1,0.2977764423076923,gamma-bisection,0.01,B2_age_x_popularity,0.2,0.28,1006,-4.130859375,1.0,ELIGIBLE,0.040096153846153844
A1,0.8597756410256411,gamma-bisection,0.01,B3_fragility_only,1.0,1.0,1006,-4.130859375,1.0,ELIGIBLE,0.040096153846153844
A1,0.7138421474358975,gamma-bisection,0.01,B4_CFHM,1.0,0.88,1006,-4.130859375,1.0,ELIGIBLE,0.040096153846153844
A2,0.5998392121394834,gamma-bisection,0.01,B1_in_degree,0.9,0.68,1006,-4.385498046875,1.0,ELIGIBLE,0.03995192307692308
A2,0.27544970354738213,gamma-bisection,0.01,B2_age_x_popularity,0.3,0.28,1006,-4.385498046875,1.0,ELIGIBLE,0.03995192307692308
A2,0.7425384383479047,gamma-bisection,0.01,B3_fragility_only,1.0,0.92,1006,-4.385498046875,1.0,ELIGIBLE,0.03995192307692308
A2,0.6178273540347703,gamma-bisection,0.01,B4_CFHM,0.9,0.8,1006,-4.385498046875,1.0,ELIGIBLE,0.03995192307692308
A1,0.6106810335809185,gamma-bisection,0.01,B1_in_degree,0.8,0.8,1007,-3.961669921875,1.0,ELIGIBLE,0.040096153846153844
A1,0.5497436970394394,gamma-bisection,0.01,B2_age_x_popularity,0.5,0.56,1007,-3.961669921875,1.0,ELIGIBLE,0.040096153846153844
A1,0.8347107438016529,gamma-bisection,0.01,B3_fragility_only,1.0,1.0,1007,-3.961669921875,1.0,ELIGIBLE,0.040096153846153844
A1,0.7562506538340831,gamma-bisection,0.01,B4_CFHM,1.0,1.0,1007,-3.961669921875,1.0,ELIGIBLE,0.040096153846153844
A2,0.5241993615487592,gamma-bisection,0.01,B1_in_degree,0.5,0.56,1007,-3.9189453125,1.0,ELIGIBLE,0.04
A2,0.4626711976109567,gamma-bisection,0.01,B2_age_x_popularity,0.5,0.4,1007,-3.9189453125,1.0,ELIGIBLE,0.04
A2,0.7611986407167131,gamma-bisection,0.01,B3_fragility_only,0.8,0.84,1007,-3.9189453125,1.0,ELIGIBLE,0.04
A2,0.6143548553187107,gamma-bisection,0.01,B4_CFHM,0.7,0.72,1007,-3.9189453125,1.0,ELIGIBLE,0.04
A1,0.6255693896143334,gamma-bisection,0.01,B1_in_degree,0.8,0.68,1008,-4.546142578125,1.0,ELIGIBLE,0.03995192307692308
A1,0.577588824779836,gamma-bisection,0.01,B2_age_x_popularity,0.8,0.64,1008,-4.546142578125,1.0,ELIGIBLE,0.03995192307692308
A1,0.8348010932280595,gamma-bisection,0.01,B3_fragility_only,1.0,0.88,1008,-4.546142578125,1.0,ELIGIBLE,0.03995192307692308
A1,0.7888450248000809,gamma-bisection,0.01,B4_CFHM,0.9,0.92,1008,-4.546142578125,1.0,ELIGIBLE,0.03995192307692308
A2,0.5288220551378446,gamma-bisection,0.01,B1_in_degree,0.6,0.56,1008,-4.77685546875,1.0,ELIGIBLE,0.03995192307692308
A2,0.5324310776942355,gamma-bisection,0.01,B2_age_x_popularity,0.6,0.56,1008,-4.77685546875,1.0,ELIGIBLE,0.03995192307692308
A2,0.6790977443609022,gamma-bisection,0.01,B3_fragility_only,1.0,0.92,1008,-4.77685546875,1.0,ELIGIBLE,0.03995192307692308
A2,0.6793984962406016,gamma-bisection,0.01,B4_CFHM,1.0,0.84,1008,-4.77685546875,1.0,ELIGIBLE,0.03995192307692308
A1,0.49994574652777773,gamma-bisection,0.01,B1_in_degree,0.7,0.6,1009,-3.872802734375,1.0,ELIGIBLE,0.03995192307692308
A1,0.44661458333333337,gamma-bisection,0.01,B2_age_x_popularity,0.5,0.56,1009,-3.872802734375,1.0,ELIGIBLE,0.03995192307692308
A1,0.7245008680555555,gamma-bisection,0.01,B3_fragility_only,1.0,0.8,1009,-3.872802734375,1.0,ELIGIBLE,0.03995192307692308
A1,0.6832682291666667,gamma-bisection,0.01,B4_CFHM,1.0,0.92,1009,-3.872802734375,1.0,ELIGIBLE,0.03995192307692308
A2,0.476566454094544,gamma-bisection,0.01,B1_in_degree,0.5,0.64,1009,-4.28466796875,1.0,ELIGIBLE,0.04
A2,0.4789958497823666,gamma-bisection,0.01,B2_age_x_popularity,0.7,0.64,1009,-4.28466796875,1.0,ELIGIBLE,0.04
A2,0.6599858285251543,gamma-bisection,0.01,B3_fragility_only,0.8,0.88,1009,-4.28466796875,1.0,ELIGIBLE,0.04
A2,0.640753112663225,gamma-bisection,0.01,B4_CFHM,1.0,0.84,1009,-4.28466796875,1.0,ELIGIBLE,0.04
A1,0.4368598880794003,gamma-bisection,0.01,B1_in_degree,0.3,0.4,1010,-4.170166015625,1.0,ELIGIBLE,0.03995192307692308
A1,0.5205363741949108,gamma-bisection,0.01,B2_age_x_popularity,0.6,0.6,1010,-4.170166015625,1.0,ELIGIBLE,0.03995192307692308
A1,0.7943195016365749,gamma-bisection,0.01,B3_fragility_only,1.0,0.92,1010,-4.170166015625,1.0,ELIGIBLE,0.03995192307692308
A1,0.6429099355928625,gamma-bisection,0.01,B4_CFHM,0.7,0.8,1010,-4.170166015625,1.0,ELIGIBLE,0.03995192307692308
A2,0.45809218685407194,gamma-bisection,0.01,B1_in_degree,0.4,0.32,1010,-4.57861328125,1.0,ELIGIBLE,0.03995192307692308
A2,0.513848697809012,gamma-bisection,0.01,B2_age_x_popularity,0.3,0.44,1010,-4.57861328125,1.0,ELIGIBLE,0.03995192307692308
A2,0.7212691194708558,gamma-bisection,0.01,B3_fragility_only,0.9,0.88,1010,-4.57861328125,1.0,ELIGIBLE,0.03995192307692308
A2,0.5326581231914014,gamma-bisection,0.01,B4_CFHM,0.6,0.44,1010,-4.57861328125,1.0,ELIGIBLE,0.03995192307692308
A1,0.6913555194805194,gamma-bisection,0.01,B1_in_degree,1.0,0.92,1011,-4.0146484375,1.0,ELIGIBLE,0.040096153846153844
A1,0.47554788961038963,gamma-bisection,0.01,B2_age_x_popularity,0.3,0.52,1011,-4.0146484375,1.0,ELIGIBLE,0.040096153846153844
A1,0.7740462662337663,gamma-bisection,0.01,B3_fragility_only,1.0,1.0,1011,-4.0146484375,1.0,ELIGIBLE,0.040096153846153844
A1,0.5823863636363636,gamma-bisection,0.01,B4_CFHM,0.9,0.88,1011,-4.0146484375,1.0,ELIGIBLE,0.040096153846153844
A2,0.7033898305084745,gamma-bisection,0.01,B1_in_degree,1.0,0.88,1011,-4.20263671875,1.0,ELIGIBLE,0.04
