seed,arm,variant,p_at_25,S_major,S_minor,S_advisory,spearman_rho
1034,A2,V-B3R,0.96,,,,
1035,A1,V-REFIT,0.6,0.016289214452076366,0.01628914706361779,0.016288685972794478,-0.26666666666666666
1035,A1,V-A0,0.72,,,,
1035,A1,V-ORAC,1.0,0.017390669295917125,0.017948644987291956,0.017389984402279453,0.05270462766947299
1035,A1,V-B3R,1.0,,,,
1035,A2,V-REFIT,0.76,0.016289054653014248,0.016289063181407777,0.016288846289732983,-0.6166666666666666
1035,A2,V-A0,0.76,,,,
1035,A2,V-ORAC,0.96,0.017389450697575737,0.0179498301044399,0.01739083629141175,-0.15811388300841894
1035,A2,V-B3R,0.88,,,,
1036,A1,V-REFIT,0.84,0.01628384328332739,0.01628402004046596,0.016283942121146623,-0.6833333333333333
1036,A1,V-A0,0.8,,,,
1036,A1,V-ORAC,0.96,0.017390409933627695,0.017949360950165263,0.01739023497208781,0.21081851067789195
1036,A1,V-B3R,0.96,,,,
1036,A2,V-REFIT,0.56,0.01628385935359858,0.01628407303743179,0.016283921891817422,-0.65
1036,A2,V-A0,0.56,,,,
1036,A2,V-ORAC,0.96,0.017390175752038065,0.017390359664254493,0.01738792661923757,0.21081851067789195
1036,A2,V-B3R,0.92,,,,
1037,A1,V-REFIT,0.72,0.016283953223986635,0.016283748382324974,0.016283687338007478,-0.16666666666666669
1037,A1,V-A0,0.64,,,,
1037,A1,V-ORAC,0.96,0.017390229639674914,0.017928977032634404,0.017389697024071234,0.21081851067789195
1037,A1,V-B3R,1.0,,,,
1037,A2,V-REFIT,0.6,0.01628366441771536,0.01628402763772465,0.016283501649378848,-0.33333333333333337
1037,A2,V-A0,0.56,,,,
1037,A2,V-ORAC,0.96,0.017389504499350734,0.017389765186573425,0.017361977137156568,0.05270462766947299
1037,A2,V-B3R,1.0,,,,
1038,A1,V-REFIT,1.0,0.016292238643368265,0.01629174128203668,0.016292177235329462,-0.48333333333333334
1038,A1,V-A0,1.0,,,,
